PRECIO,AÑO,MES,Entidad_nume
24.68,2025,1,3.0
24.64,2025,2,3.0
24.05,2025,3,3.0
23.98,2025,4,3.0
15.86,2017,1,4.0
15.85,2017,2,4.0
15.76,2017,3,4.0
15.78,2017,4,4.0
15.69,2017,5,4.0
15.59,2017,6,4.0
15.51,2017,7,4.0
15.58,2017,8,4.0
15.81,2017,9,4.0
15.93,2017,10,4.0
16.01,2017,11,4.0
16.16,2017,12,4.0
16.68,2018,1,4.0
17.17,2018,2,4.0
17.36,2018,3,4.0
17.48,2018,4,4.0
17.65,2018,5,4.0
17.88,2018,6,4.0
18.3,2018,7,4.0
18.87,2018,8,4.0
19.09,2018,9,4.0
19.22,2018,10,4.0
19.2,2018,11,4.0
18.92,2018,12,4.0
18.52,2019,1,4.0
18.92,2019,2,4.0
19.62,2019,3,4.0
19.47,2019,4,4.0
19.27,2019,5,4.0
19.09,2019,6,4.0
19.19,2019,7,4.0
19.21,2019,8,4.0
19.27,2019,9,4.0
19.19,2019,10,4.0
19.19,2019,11,4.0
19.27,2019,12,4.0
19.31,2020,1,4.0
19.15,2020,2,4.0
17.8,2020,3,4.0
15.28,2020,4,4.0
16.18,2020,5,4.0
17.57,2020,6,4.0
18.64,2020,7,4.0
18.61,2020,8,4.0
18.76,2020,9,4.0
18.72,2020,10,4.0
18.29,2020,11,4.0
18.42,2020,12,4.0
19.07,2021,1,4.0
19.74,2021,2,4.0
20.04,2021,3,4.0
20.2,2021,4,4.0
20.29,2021,5,4.0
20.29,2021,6,4.0
20.41,2021,7,4.0
20.56,2021,8,4.0
20.54,2021,9,4.0
20.61,2021,10,4.0
20.55,2021,11,4.0
20.71,2021,12,4.0
20.91,2022,1,4.0
20.96,2022,2,4.0
21.22,2022,3,4.0
21.35,2022,4,4.0
21.48,2022,5,4.0
21.5,2022,6,4.0
21.66,2022,7,4.0
21.71,2022,8,4.0
21.86,2022,9,4.0
21.93,2022,10,4.0
21.91,2022,11,4.0
21.81,2022,12,4.0
21.9,2023,1,4.0
21.85,2023,2,4.0
21.82,2023,3,4.0
21.94,2023,4,4.0
21.97,2023,5,4.0
22.01,2023,6,4.0
22.02,2023,7,4.0
22.15,2023,8,4.0
22.24,2023,9,4.0
22.35,2023,10,4.0
22.38,2023,11,4.0
22.2,2023,12,4.0
22.39,2024,1,4.0
22.98,2024,2,4.0
23.2,2024,3,4.0
23.24,2024,4,4.0
23.33,2024,5,4.0
23.82,2024,6,4.0
23.96,2024,7,4.0
23.99,2024,8,4.0
23.9,2024,9,4.0
23.99,2024,10,4.0
24.05,2024,11,4.0
24.1,2024,12,4.0
24.28,2025,1,4.0
24.11,2025,2,4.0
23.93,2025,3,4.0
23.76,2025,4,4.0
16.04,2017,1,5.0
14.26,2017,2,5.0
14.76,2017,3,5.0
14.74,2017,4,5.0
14.66,2017,5,5.0
14.62,2017,6,5.0
14.49,2017,7,5.0
14.49,2017,8,5.0
14.83,2017,9,5.0
14.98,2017,10,5.0
15.11,2017,11,5.0
15.29,2017,12,5.0
15.8,2018,1,5.0
16.39,2018,2,5.0
16.52,2018,3,5.0
16.48,2018,4,5.0
16.89,2018,5,5.0
16.75,2018,6,5.0
17.14,2018,7,5.0
17.68,2018,8,5.0
17.96,2018,9,5.0
18.15,2018,10,5.0
17.95,2018,11,5.0
17.54,2018,12,5.0
16.83,2019,1,5.0
17.31,2019,2,5.0
17.84,2019,3,5.0
17.49,2019,4,5.0
17.2,2019,5,5.0
17.23,2019,6,5.0
17.22,2019,7,5.0
17.02,2019,8,5.0
17.26,2019,9,5.0
17.06,2019,10,5.0
16.98,2019,11,5.0
17.28,2019,12,5.0
17.38,2020,1,5.0
17.16,2020,2,5.0
15.23,2020,3,5.0
12.91,2020,4,5.0
14.26,2020,5,5.0
15.77,2020,6,5.0
16.56,2020,7,5.0
16.36,2020,8,5.0
16.58,2020,9,5.0
16.43,2020,10,5.0
15.77,2020,11,5.0
16.14,2020,12,5.0
17.36,2021,1,5.0
18.17,2021,2,5.0
18.37,2021,3,5.0
18.27,2021,4,5.0
18.39,2021,5,5.0
18.25,2021,6,5.0
18.14,2021,7,5.0
18.22,2021,8,5.0
18.21,2021,9,5.0
18.3,2021,10,5.0
18.15,2021,11,5.0
18.46,2021,12,5.0
18.92,2022,1,5.0
19.22,2022,2,5.0
19.75,2022,3,5.0
20.18,2022,4,5.0
20.31,2022,5,5.0
20.68,2022,6,5.0
20.45,2022,7,5.0
20.5,2022,8,5.0
19.81,2022,9,5.0
20.09,2022,10,5.0
19.69,2022,11,5.0
19.69,2022,12,5.0
19.87,2023,1,5.0
19.76,2023,2,5.0
19.75,2023,3,5.0
19.93,2023,4,5.0
20.57,2023,5,5.0
20.68,2023,6,5.0
20.72,2023,7,5.0
21.32,2023,8,5.0
21.67,2023,9,5.0
20.97,2023,10,5.0
20.84,2023,11,5.0
20.0,2023,12,5.0
20.24,2024,1,5.0
20.99,2024,2,5.0
21.15,2024,3,5.0
21.51,2024,4,5.0
21.07,2024,5,5.0
21.17,2024,6,5.0
21.72,2024,7,5.0
21.81,2024,8,5.0
21.45,2024,9,5.0
21.45,2024,10,5.0
21.44,2024,11,5.0
21.98,2024,12,5.0
22.33,2025,1,5.0
22.41,2025,2,5.0
22.39,2025,3,5.0
22.42,2025,4,5.0
16.32,2017,1,6.0
16.29,2017,2,6.0
16.21,2017,3,6.0
16.2,2017,4,6.0
16.08,2017,5,6.0
15.95,2017,6,6.0
15.86,2017,7,6.0
15.92,2017,8,6.0
16.14,2017,9,6.0
16.26,2017,10,6.0
16.35,2017,11,6.0
16.45,2017,12,6.0
17.07,2018,1,6.0
17.85,2018,2,6.0
18.11,2018,3,6.0
18.21,2018,4,6.0
18.49,2018,5,6.0
18.79,2018,6,6.0
19.01,2018,7,6.0
19.34,2018,8,6.0
19.6,2018,9,6.0
19.86,2018,10,6.0
19.9,2018,11,6.0
19.75,2018,12,6.0
19.63,2019,1,6.0
19.96,2019,2,6.0
20.52,2019,3,6.0
20.49,2019,4,6.0
20.52,2019,5,6.0
20.39,2019,6,6.0
20.47,2019,7,6.0
20.31,2019,8,6.0
20.32,2019,9,6.0
20.26,2019,10,6.0
20.29,2019,11,6.0
20.45,2019,12,6.0
20.6,2020,1,6.0
20.45,2020,2,6.0
18.85,2020,3,6.0
15.56,2020,4,6.0
16.87,2020,5,6.0
18.25,2020,6,6.0
19.26,2020,7,6.0
19.25,2020,8,6.0
19.07,2020,9,6.0
18.93,2020,10,6.0
18.15,2020,11,6.0
18.35,2020,12,6.0
19.54,2021,1,6.0
20.51,2021,2,6.0
20.93,2021,3,6.0
20.88,2021,4,6.0
20.93,2021,5,6.0
20.95,2021,6,6.0
20.83,2021,7,6.0
20.82,2021,8,6.0
20.71,2021,9,6.0
20.57,2021,10,6.0
20.65,2021,11,6.0
21.08,2021,12,6.0
21.4,2022,1,6.0
21.54,2022,2,6.0
22.1,2022,3,6.0
22.18,2022,4,6.0
22.4,2022,5,6.0
22.66,2022,6,6.0
22.67,2022,7,6.0
22.65,2022,8,6.0
22.31,2022,9,6.0
22.49,2022,10,6.0
22.33,2022,11,6.0
22.14,2022,12,6.0
22.3,2023,1,6.0
22.36,2023,2,6.0
22.55,2023,3,6.0
22.74,2023,4,6.0
22.55,2023,5,6.0
22.55,2023,6,6.0
22.56,2023,7,6.0
22.6,2023,8,6.0
22.84,2023,9,6.0
22.84,2023,10,6.0
22.71,2023,11,6.0
22.61,2023,12,6.0
22.65,2024,1,6.0
23.12,2024,2,6.0
23.22,2024,3,6.0
23.52,2024,4,6.0
23.84,2024,5,6.0
23.89,2024,6,6.0
24.1,2024,7,6.0
24.19,2024,8,6.0
23.95,2024,9,6.0
23.97,2024,10,6.0
23.9,2024,11,6.0
24.0,2024,12,6.0
24.38,2025,1,6.0
24.26,2025,2,6.0
23.86,2025,3,6.0
23.83,2025,4,6.0
15.8,2017,1,7.0
15.85,2017,2,7.0
15.71,2017,3,7.0
15.62,2017,4,7.0
15.47,2017,5,7.0
15.41,2017,6,7.0
15.36,2017,7,7.0
15.45,2017,8,7.0
15.67,2017,9,7.0
15.84,2017,10,7.0
15.97,2017,11,7.0
16.16,2017,12,7.0
16.69,2018,1,7.0
17.38,2018,2,7.0
17.61,2018,3,7.0
17.68,2018,4,7.0
17.74,2018,5,7.0
18.08,2018,6,7.0
18.43,2018,7,7.0
18.96,2018,8,7.0
19.26,2018,9,7.0
19.48,2018,10,7.0
19.44,2018,11,7.0
19.17,2018,12,7.0
18.9,2019,1,7.0
19.19,2019,2,7.0
19.68,2019,3,7.0
19.37,2019,4,7.0
19.17,2019,5,7.0
19.18,2019,6,7.0
19.3,2019,7,7.0
19.09,2019,8,7.0
19.32,2019,9,7.0
19.35,2019,10,7.0
19.51,2019,11,7.0
19.48,2019,12,7.0
19.53,2020,1,7.0
19.41,2020,2,7.0
17.67,2020,3,7.0
15.16,2020,4,7.0
15.89,2020,5,7.0
16.95,2020,6,7.0
17.91,2020,7,7.0
18.17,2020,8,7.0
18.17,2020,9,7.0
18.15,2020,10,7.0
17.5,2020,11,7.0
17.58,2020,12,7.0
18.31,2021,1,7.0
19.14,2021,2,7.0
19.84,2021,3,7.0
20.02,2021,4,7.0
20.11,2021,5,7.0
20.18,2021,6,7.0
20.21,2021,7,7.0
20.19,2021,8,7.0
20.12,2021,9,7.0
20.14,2021,10,7.0
19.96,2021,11,7.0
20.17,2021,12,7.0
20.45,2022,1,7.0
20.52,2022,2,7.0
21.22,2022,3,7.0
21.57,2022,4,7.0
21.95,2022,5,7.0
22.11,2022,6,7.0
22.05,2022,7,7.0
22.01,2022,8,7.0
21.55,2022,9,7.0
21.74,2022,10,7.0
21.64,2022,11,7.0
21.1,2022,12,7.0
21.1,2023,1,7.0
21.11,2023,2,7.0
21.39,2023,3,7.0
21.65,2023,4,7.0
21.21,2023,5,7.0
21.17,2023,6,7.0
21.53,2023,7,7.0
22.13,2023,8,7.0
22.12,2023,9,7.0
21.8,2023,10,7.0
21.95,2023,11,7.0
22.1,2023,12,7.0
22.09,2024,1,7.0
22.66,2024,2,7.0
22.68,2024,3,7.0
22.91,2024,4,7.0
23.22,2024,5,7.0
23.28,2024,6,7.0
23.69,2024,7,7.0
23.91,2024,8,7.0
